,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,rooms_per_bedroom,rooms_per_household,population_per_household,log_prices
0,-122.23,37.88,41,880,129.0,322,126,8.3252,452600,0.0,0.0,0.0,1.0,0.0,6.821705426356589,6.984126984126984,2.5555555555555554,13.022766221635607
1,-122.22,37.86,21,7099,1106.0,2401,1138,8.3014,358500,0.0,0.0,0.0,1.0,0.0,6.418625678119349,6.238137082601054,2.109841827768014,12.7896867284182
2,-122.24,37.85,52,1467,190.0,496,177,7.2574,352100,0.0,0.0,0.0,1.0,0.0,7.721052631578948,8.288135593220339,2.8022598870056497,12.771673345241355
3,-122.25,37.85,52,1274,235.0,558,219,5.6431,341300,0.0,0.0,0.0,1.0,0.0,5.421276595744681,5.8173515981735155,2.547945205479452,12.740520064864135
4,-122.25,37.85,52,1627,280.0,565,259,3.8462,342200,0.0,0.0,0.0,1.0,0.0,5.810714285714286,6.281853281853282,2.1814671814671813,12.74315356270364
5,-122.25,37.85,52,919,213.0,413,193,4.0368,269700,0.0,0.0,0.0,1.0,0.0,4.314553990610329,4.761658031088083,2.139896373056995,12.505069216944454
6,-122.25,37.84,52,2535,489.0,1094,514,3.6591,299200,0.0,0.0,0.0,1.0,0.0,5.184049079754601,4.9319066147859925,2.1284046692607004,12.608870867322864
7,-122.25,37.84,52,3104,687.0,1157,647,3.12,241400,0.0,0.0,0.0,1.0,0.0,4.518195050946143,4.797527047913447,1.7882534775888717,12.39421473013906
8,-122.26,37.84,42,2555,665.0,1206,595,2.0804,226700,0.0,0.0,0.0,1.0,0.0,3.8421052631578947,4.294117647058823,2.026890756302521,12.331387247601905
9,-122.25,37.84,52,3549,707.0,1551,714,3.6912,261100,0.0,0.0,0.0,1.0,0.0,5.01980198019802,4.970588235294118,2.172268907563025,12.472662584630097
10,-122.26,37.85,52,2202,434.0,910,402,3.2031,281500,0.0,0.0,0.0,1.0,0.0,5.073732718894009,5.477611940298507,2.263681592039801,12.547891278953442
11,-122.26,37.85,52,3503,752.0,1504,734,3.2705,241800,0.0,0.0,0.0,1.0,0.0,4.658244680851064,4.772479564032698,2.0490463215258856,12.395870352803575
12,-122.26,37.85,52,2491,474.0,1098,468,3.075,213500,0.0,0.0,0.0,1.0,0.0,5.255274261603375,5.322649572649572,2.3461538461538463,12.271396795480596
13,-122.26,37.84,52,696,191.0,345,174,2.6736,191300,0.0,0.0,0.0,1.0,0.0,3.643979057591623,4.0,1.9827586206896552,12.161603382806213
14,-122.26,37.85,52,2643,626.0,1212,620,1.9167,159200,0.0,0.0,0.0,1.0,0.0,4.222044728434505,4.262903225806451,1.9548387096774194,11.977922833779727
15,-122.26,37.85,50,1120,283.0,697,264,2.125,140000,0.0,0.0,0.0,1.0,0.0,3.9575971731448765,4.242424242424242,2.640151515151515,11.849404844423074
16,-122.27,37.85,52,1966,347.0,793,331,2.775,152500,0.0,0.0,0.0,1.0,0.0,5.665706051873199,5.9395770392749245,2.395770392749245,11.934926432385152
17,-122.27,37.85,52,1228,293.0,648,303,2.1202,155500,0.0,0.0,0.0,1.0,0.0,4.191126279863481,4.052805280528053,2.1386138613861387,11.954407441448915
18,-122.26,37.84,50,2239,455.0,990,419,1.9911,158700,0.0,0.0,0.0,1.0,0.0,4.920879120879121,5.343675417661098,2.3627684964200477,11.974777207691876
19,-122.27,37.84,52,1503,298.0,690,275,2.6033,162900,0.0,0.0,0.0,1.0,0.0,5.043624161073826,5.465454545454546,2.5090909090909093,12.000897933306716
20,-122.27,37.85,40,751,184.0,409,166,1.3578,147500,0.0,0.0,0.0,1.0,0.0,4.081521739130435,4.524096385542169,2.463855421686747,11.901590234400047
21,-122.27,37.85,42,1639,367.0,929,366,1.7135,159800,0.0,0.0,0.0,1.0,0.0,4.4659400544959125,4.478142076502732,2.5382513661202184,11.98168457011701
