longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity_-1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,rooms_per_bedroom,rooms_per_household,population_per_household
-121.8,37.32,14,4412,924.0,2698,891,4.7027,1.0,0.0,0.0,0.0,0.0,4.774891774891775,4.951739618406285,3.028058361391695
-119.63,36.64,33,1036,181.0,620,174,3.4107,0.0,1.0,0.0,0.0,0.0,5.723756906077348,5.954022988505747,3.5632183908045976
-118.06,34.12,25,3891,848.0,1848,759,3.6639,0.0,1.0,0.0,0.0,0.0,4.588443396226415,5.126482213438735,2.4347826086956523
-118.31,34.07,28,2362,949.0,2759,894,2.2364,1.0,0.0,0.0,0.0,0.0,2.488935721812434,2.6420581655480984,3.086129753914989
-117.27,33.04,27,1839,392.0,1302,404,3.55,0.0,0.0,0.0,0.0,1.0,4.691326530612245,4.551980198019802,3.222772277227723
-118.1,34.09,42,1460,289.0,829,273,4.875,1.0,0.0,0.0,0.0,0.0,5.051903114186851,5.347985347985348,3.0366300366300365
-118.36,33.95,26,3231,1089.0,3193,1020,2.6535,1.0,0.0,0.0,0.0,0.0,2.9669421487603307,3.1676470588235293,3.130392156862745
-115.49,32.67,29,1523,440.0,1302,393,1.1311,0.0,1.0,0.0,0.0,0.0,3.4613636363636364,3.8753180661577606,3.312977099236641
-122.06,37.34,20,3435,593.0,1293,553,6.7578,1.0,0.0,0.0,0.0,0.0,5.792580101180438,6.211573236889692,2.338155515370705
-122.41,37.8,52,2583,672.0,1335,613,3.1477,0.0,0.0,0.0,1.0,0.0,3.84375,4.213703099510604,2.177814029363785
-120.46,38.09,16,3758,715.0,1777,615,3.0,0.0,1.0,0.0,0.0,0.0,5.255944055944056,6.110569105691057,2.8894308943089437
-117.96,33.72,23,3929,559.0,1858,538,6.8645,1.0,0.0,0.0,0.0,0.0,7.028622540250447,7.302973977695167,3.453531598513011
-122.63,38.5,19,2107,332.0,874,341,5.7819,1.0,0.0,0.0,0.0,0.0,6.346385542168675,6.178885630498534,2.563049853372434
-117.97,34.05,34,2050,495.0,1832,465,2.8333,1.0,0.0,0.0,0.0,0.0,4.141414141414141,4.408602150537634,3.9397849462365593
-121.8,39.64,25,2202,422.0,1109,403,2.8306,0.0,1.0,0.0,0.0,0.0,5.218009478672986,5.464019851116626,2.7518610421836227
-118.19,35.05,14,2992,573.0,1631,526,3.7452,0.0,1.0,0.0,0.0,0.0,5.221640488656195,5.688212927756654,3.1007604562737643
-117.84,33.81,26,5574,1025.0,2607,988,4.0324,1.0,0.0,0.0,0.0,0.0,5.438048780487805,5.6417004048583,2.638663967611336
-118.26,33.95,44,1513,369.0,1088,344,1.2969,1.0,0.0,0.0,0.0,0.0,4.100271002710027,4.398255813953488,3.1627906976744184
-117.04,32.83,8,2205,348.0,777,341,6.0266,1.0,0.0,0.0,0.0,0.0,6.336206896551724,6.466275659824047,2.278592375366569
